词语	频次	频率
 	185	0.2179
10岁以上	100	0.1178
消化吸收障碍	59	0.0695
代谢紊乱	55	0.0648
进食受限	55	0.0648
补充营养	54	0.0636
婴儿	51	0.0601
医学状况	35	0.0412
特定疾病	32	0.0377
补充碳水化合物	24	0.0283
补充蛋白质	22	0.0259
早产	20	0.0236
低出生体重	20	0.0236
腹泻	17	0.0200
补充水及电解质	16	0.0188
乳糖不耐受	14	0.0165
轻至中度脱水	12	0.0141
高风险	11	0.0130
乳蛋白过敏	11	0.0130
1岁以上	8	0.0094
电解质	7	0.0082
18岁以上	6	0.0071
食物蛋白过敏	5	0.0059
限制脂肪摄入	4	0.0047
苯丙酮尿症	3	0.0035
误吸风险	3	0.0035
吞咽障碍	3	0.0035
营养不良	2	0.0024
补充中链脂肪	2	0.0024
营养	2	0.0024

	1	0.0012
中度	1	0.0012
轻度	1	0.0012
医学	1	0.0012
肿瘤	1	0.0012
患者	1	0.0012
风险	1	0.0012
消化吸收	1	0.0012
50岁以上	1	0.0012
不足	1	0.0012
脱水	1	0.0012
